time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010451700000	7.93745	20.4582	4.87589	3.50048	0.503017	lidar	0.171163	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.72047	20.3734	4.90181	3.52975	0.512825	radar	3.33972	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.39022	20.3165	5.09079	3.52527	0.479921	lidar	3.31767	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.15561	20.2218	5.06267	3.54586	0.473366	radar	0.291561	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.88615	20.1376	5.12859	3.55696	0.459939	lidar	0.483748	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.66172	20.0469	5.07383	3.57375	0.450596	radar	0.649142	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.41471	19.9539	5.1011	3.58787	0.441956	lidar	0.249577	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.20021	19.8608	5.05998	3.60586	0.438052	radar	3.00845	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	5.93433	19.766	5.1266	3.61325	0.422783	lidar	0.616005	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.69229	19.624	5.22408	3.64347	0.437396	radar	1.59734	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.53392	19.4988	5.09446	3.67836	0.452397	lidar	1.84812	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.33111	19.351	5.08818	3.70958	0.462301	radar	1.77268	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.12478	19.2481	5.05352	3.72297	0.453448	lidar	2.04353	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	4.94669	19.1347	4.91712	3.74028	0.44379	radar	4.68542	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
1477010452400000	4.79291	18.9861	4.83908	3.77578	0.458471	lidar	0.64324	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305
